iter	Passed	Remaining
0	187	186825
1	190	95020
2	193	64328
3	196	48950
4	199	39743
5	202	33578
6	205	29164
7	208	25876
8	211	23315
9	214	21264
10	217	19581
11	220	18180
12	222	16921
13	224	15846
14	227	14912
15	228	14060
16	230	13311
17	231	12646
18	233	12050
19	234	11497
20	235	11000
21	237	10546
22	238	10135
23	239	9753
24	240	9397
25	242	9067
26	243	8761
27	244	8479
28	245	8214
29	246	7963
30	247	7729
31	248	7507
32	249	7299
33	250	7104
34	251	6924
35	252	6749
36	252	6582
37	253	6422
38	254	6271
39	255	6127
40	256	5990
41	256	5861
42	257	5737
43	258	5618
44	259	5505
45	260	5398
46	261	5294
47	261	5195
48	262	5099
49	263	5008
50	264	4921
51	265	4836
52	266	4754
53	266	4676
54	267	4599
55	268	4526
56	269	4455
57	270	4387
58	270	4322
59	271	4257
60	272	4195
61	273	4136
62	274	4077
63	274	4021
64	275	3966
65	276	3914
66	277	3863
67	277	3807
68	278	3760
69	279	3713
70	280	3667
71	281	3623
72	281	3580
73	282	3537
74	283	3497
75	284	3457
76	285	3417
77	285	3379
78	286	3343
79	287	3306
80	288	3271
81	289	3236
82	289	3203
83	290	3170
84	291	3135
85	292	3103
86	292	3070
87	293	3041
88	294	3012
89	295	2984
90	295	2956
91	296	2929
92	297	2902
93	298	2876
94	299	2850
95	300	2825
96	300	2800
97	301	2775
98	302	2751
99	303	2728
100	304	2706
101	304	2680
102	305	2658
103	306	2636
104	306	2616
105	307	2595
106	308	2574
107	309	2554
108	310	2537
109	311	2520
110	312	2502
111	313	2485
112	314	2467
113	315	2449
114	316	2431
115	316	2413
116	317	2396
117	318	2379
118	319	2361
119	319	2345
120	320	2329
121	321	2313
122	321	2294
123	322	2280
124	323	2264
125	324	2250
126	325	2235
127	325	2218
128	326	2204
129	327	2190
130	328	2176
131	329	2163
132	329	2150
133	330	2136
134	331	2123
135	332	2110
136	333	2098
137	333	2084
138	334	2072
139	335	2060
140	336	2048
141	337	2036
142	337	2025
143	338	2013
144	339	2002
145	340	1991
146	341	1979
147	341	1968
148	342	1957
149	343	1946
150	344	1935
151	344	1924
152	345	1914
153	346	1904
154	347	1893
155	348	1884
156	349	1874
157	349	1864
158	350	1855
159	351	1845
160	352	1836
161	353	1827
162	354	1817
163	354	1808
164	355	1799
165	356	1790
166	357	1782
167	358	1773
168	358	1764
169	359	1755
170	360	1747
171	361	1738
172	362	1730
173	362	1722
174	363	1714
175	364	1706
176	365	1698
177	366	1690
178	366	1682
179	367	1675
180	368	1665
181	368	1658
182	369	1650
183	370	1643
184	371	1635
185	372	1628
186	372	1621
187	373	1613
188	374	1606
189	375	1599
190	376	1592
191	376	1585
192	377	1579
193	378	1572
194	379	1565
195	380	1559
196	380	1552
197	381	1545
198	382	1539
199	383	1532
200	384	1526
201	384	1520
202	385	1514
203	386	1507
204	387	1501
205	387	1495
206	388	1489
207	389	1483
208	390	1477
209	391	1471
210	391	1465
211	392	1459
212	393	1453
213	394	1448
214	395	1442
215	395	1436
216	396	1431
217	397	1425
218	398	1420
219	398	1414
220	399	1409
221	400	1403
222	401	1398
223	402	1393
224	402	1387
225	403	1382
226	404	1377
227	405	1372
228	406	1367
229	406	1362
230	407	1357
231	408	1352
232	409	1347
233	409	1342
234	410	1337
235	411	1332
236	412	1327
237	413	1323
238	414	1318
239	414	1313
240	415	1308
241	416	1304
242	417	1299
243	417	1295
244	418	1290
245	419	1286
246	420	1281
247	421	1277
248	422	1272
249	422	1268
250	423	1264
251	424	1259
252	425	1255
253	426	1251
254	426	1247
255	427	1243
256	428	1239
257	429	1235
258	430	1230
259	431	1226
260	431	1222
261	432	1218
262	433	1214
263	434	1210
264	434	1206
265	435	1202
266	436	1198
267	437	1194
268	438	1190
269	438	1186
270	439	1183
271	440	1179
272	441	1175
273	442	1171
274	442	1167
275	443	1164
276	444	1160
277	445	1156
278	446	1152
279	446	1149
280	447	1145
281	448	1141
282	449	1138
283	450	1134
284	450	1131
285	451	1127
286	452	1124
287	453	1120
288	454	1117
289	454	1113
290	455	1110
291	456	1106
292	457	1103
293	458	1100
294	458	1096
295	459	1093
296	460	1089
297	461	1086
298	462	1083
299	462	1080
300	463	1076
301	464	1073
302	465	1070
303	466	1067
304	466	1063
305	467	1060
306	468	1057
307	469	1054
308	470	1051
309	470	1047
310	471	1044
311	472	1041
312	473	1038
313	474	1035
314	474	1032
315	475	1029
316	476	1026
317	477	1023
318	478	1020
319	478	1017
320	479	1014
